Country Name,Country Code,Year,Population,GDP
USSR ,URS,1915,,
USSR ,URS,1916,,
USSR ,URS,1917,,
USSR ,URS,1918,,
USSR ,URS,1919,,
USSR ,URS,1920,"154,607",
USSR ,URS,1921,"152,836",
USSR ,URS,1922,"152,403",
USSR ,URS,1923,"153,055",
USSR ,URS,1924,"155,581",
USSR ,URS,1925,"158,983",
USSR ,URS,1926,"162,621",
USSR ,URS,1927,"166,117",
USSR ,URS,1928,"169,269",231886
USSR ,URS,1929,"172,017",238392
USSR ,URS,1930,"174,212",252333
USSR ,URS,1931,"175,987",257213
USSR ,URS,1932,"176,807",254424
USSR ,URS,1933,"177,401",264880
USSR ,URS,1934,"178,453",290903
USSR ,URS,1935,"179,636",334818
USSR ,URS,1936,"181,502",361306
USSR ,URS,1937,"184,626",398017
USSR ,URS,1938,"188,498",405220
USSR ,URS,1939,"192,379",430314
USSR ,URS,1940,"195,970",420091
USSR ,URS,1941,,333656
USSR ,URS,1942,,333656
USSR ,URS,1943,,333656
USSR ,URS,1944,,333656
USSR ,URS,1945,,333656
USSR ,URS,1946,"173,900",332727
USSR ,URS,1947,"174,000",369903
USSR ,URS,1948,"175,100",420555
USSR ,URS,1949,"177,500",465631
USSR ,URS,1950,"179,571",510243
USSR ,URS,1951,"182,677",512566
USSR ,URS,1952,"185,856",545792
USSR ,URS,1953,"188,961",569260
USSR ,URS,1954,"192,171",596910
USSR ,URS,1955,"195,613",648027
USSR ,URS,1956,"199,103",710065
USSR ,URS,1957,"202,604",724470
USSR ,URS,1958,"206,201",778840
USSR ,URS,1959,"209,928",770244
USSR ,URS,1960,"213,780",843434
USSR ,URS,1961,"217,618",891763
USSR ,URS,1962,"221,227",915928
USSR ,URS,1963,"224,585",895016
USSR ,URS,1964,"227,698",1010727
USSR ,URS,1965,"230,513",1068117
USSR ,URS,1966,"233,139",1119932
USSR ,URS,1967,"235,630",1169422
USSR ,URS,1968,"237,983",1237966
USSR ,URS,1969,"240,253",1255392
USSR ,URS,1970,"242,478",1351818
USSR ,URS,1971,"244,887",1387832
USSR ,URS,1972,"247,343",1395732
USSR ,URS,1973,"249,712",1513070
USSR ,URS,1974,"252,111",1556984
USSR ,URS,1975,"254,519",1561399
USSR ,URS,1976,"256,883",1634589
USSR ,URS,1977,"259,225",1673159
USSR ,URS,1978,"261,525",1715215
USSR ,URS,1979,"263,751",1707083
USSR ,URS,1980,"265,973",1709174
USSR ,URS,1981,"268,217",1724741
USSR ,URS,1982,"270,533",1767262
USSR ,URS,1983,"273,010",1823723
USSR ,URS,1984,"275,574",1847190
USSR ,URS,1985,"278,108",1863687
USSR ,URS,1986,"280,646",1940363
USSR ,URS,1987,"283,124",1965457
USSR ,URS,1988,"285,482",2007280
USSR ,URS,1989,"287,011",2037253
USSR ,URS,1990,"289,045",1987995
